vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3,xpos4,ypos4,photons4,xpos5,ypos5,photons5,xpos6,ypos6,photons6,xpos7,ypos7,photons7,xpos8,ypos8,photons8,xpos9,ypos9,photons9,xpos10,ypos10,photons10,xpos11,ypos11,photons11,xpos12,ypos12,photons12,xpos13,ypos13,photons13,xpos14,ypos14,photons14,xpos15,ypos15,photons15
69.5956,-84.0455,-5.29503,16756,-75,-75,6,-75,-25,7,-75,25,4,-75,75,7,-25,-75,15,-25,-25,7,-25,25,8,-25,75,4,25,-75,22,25,-25,12,25,25,9,25,75,6,75,-75,43,75,-25,10,75,25,7,75,75,7
-2.26127,-93.9721,20.2764,2723,-75,-75,2,-75,-25,3,-75,25,3,-99.9,-99.9,-1,-25,-75,1,-25,-25,1,-99.9,-99.9,-1,-25,75,2,25,-75,1,25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,75,-75,1,75,-25,2,-99.9,-99.9,-1,75,75,1
-57.2814,77.9308,10.7849,68,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
9.92007,-72.5226,-10.417,272,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-85.9715,-62.0087,21.1299,103,-99.9,-99.9,-1,-75,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
14.4169,15.4359,-15.2722,706287,-75,-75,263,-75,-25,313,-75,25,373,-75,75,344,-25,-75,316,-25,-25,357,-25,25,500,-25,75,400,25,-75,346,25,-25,489,25,25,1902,25,75,515,75,-75,321,75,-25,396,75,25,499,75,75,467
-82.3168,-52.0275,-8.20128,41070,-75,-75,71,-75,-25,61,-75,25,21,-75,75,18,-25,-75,29,-25,-25,18,-25,25,13,-25,75,16,25,-75,21,25,-25,15,25,25,13,25,75,8,75,-75,13,75,-25,17,75,25,19,75,75,15
-79.0774,4.06169,-22.9776,108948,-75,-75,79,-75,-25,114,-75,25,139,-75,75,74,-25,-75,65,-25,-25,70,-25,25,63,-25,75,62,25,-75,59,25,-25,41,25,25,44,25,75,30,75,-75,47,75,-25,40,75,25,50,75,75,47
77.8221,-20.6865,8.54101,273478,-75,-75,112,-75,-25,99,-75,25,92,-75,75,91,-25,-75,115,-25,-25,136,-25,25,109,-25,75,115,25,-75,165,25,-25,200,25,25,152,25,75,127,75,-75,301,75,-25,600,75,25,225,75,75,165
75.2493,86.7374,24.7141,11790,-75,-75,2,-75,-25,4,-75,25,3,-75,75,2,-25,-75,4,-25,-25,2,-25,25,5,-25,75,10,25,-75,6,25,-25,1,25,25,7,25,75,12,75,-75,5,75,-25,3,75,25,12,75,75,19
-16.5805,77.7618,-12.9168,86,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
82.0715,50.4081,6.39082,11457,-75,-75,1,-75,-25,5,-75,25,2,-75,75,7,-25,-75,6,-25,-25,2,-25,25,6,-25,75,3,25,-75,7,25,-25,3,25,25,7,25,75,3,75,-75,8,75,-25,10,75,25,12,75,75,16
24.833,-55.5232,4.33558,77,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
