vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3,xpos4,ypos4,photons4,xpos5,ypos5,photons5,xpos6,ypos6,photons6,xpos7,ypos7,photons7,xpos8,ypos8,photons8,xpos9,ypos9,photons9,xpos10,ypos10,photons10,xpos11,ypos11,photons11,xpos12,ypos12,photons12,xpos13,ypos13,photons13,xpos14,ypos14,photons14,xpos15,ypos15,photons15
-23.6406,3.30313,8.79254,99,-75,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
36.0482,-7.09897,-2.05923,143177,-75,-75,69,-75,-25,66,-75,25,58,-75,75,68,-25,-75,50,-25,-25,80,-25,25,61,-25,75,55,25,-75,84,25,-25,173,25,25,121,25,75,65,75,-75,113,75,-25,142,75,25,115,75,75,83
-24.4436,16.8611,12.0764,161,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-32.6435,-13.8855,24.9003,91,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,-75,1,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,75,25,1,-99.9,-99.9,-1
-42.2073,-44.8253,1.81046,53,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-26.2684,3.173,15.9294,98,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
28.7758,-23.5899,16.5896,140,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
37.3984,30.8836,5.77203,296746,-75,-75,87,-75,-25,118,-75,25,131,-75,75,142,-25,-75,109,-25,-25,117,-25,25,198,-25,75,135,25,-75,144,25,-25,222,25,25,357,25,75,219,75,-75,139,75,-25,218,75,25,252,75,75,262
-1.54757,-22.0728,-17.0045,39026,-75,-75,27,-75,-25,16,-75,25,17,-75,75,10,-25,-75,45,-25,-25,24,-25,25,26,-25,75,17,25,-75,35,25,-25,27,25,25,23,25,75,18,75,-75,23,75,-25,21,75,25,23,75,75,12
4.92436,-25.6498,19.3379,16660,-75,-75,5,-75,-25,15,-75,25,6,-75,75,6,-25,-75,8,-25,-25,13,-25,25,7,-25,75,12,25,-75,25,25,-25,13,25,25,2,25,75,6,75,-75,9,75,-25,9,75,25,8,75,75,7
38.2615,-1.80874,-4.71501,479040,-75,-75,206,-75,-25,181,-75,25,189,-75,75,181,-25,-75,208,-25,-25,234,-25,25,247,-25,75,235,25,-75,265,25,-25,359,25,25,328,25,75,265,75,-75,339,75,-25,411,75,25,449,75,75,329
-11.4578,21.355,12.4255,87,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,75,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-8.22263,29.318,-14.9376,146,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1,-99.9,-99.9,-1,75,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-31.1838,-27.9485,-23.2995,75500,-75,-75,52,-75,-25,66,-75,25,31,-75,75,47,-25,-75,62,-25,-25,101,-25,25,56,-25,75,27,25,-75,51,25,-25,27,25,25,43,25,75,29,75,-75,43,75,-25,28,75,25,26,75,75,25
26.3741,-17.2789,-15.8155,9443,-75,-75,3,-75,-25,4,-75,25,5,-75,75,2,-25,-75,8,-25,-25,2,-25,25,6,-25,75,6,25,-75,4,25,-25,17,25,25,5,25,75,8,75,-75,7,75,-25,10,75,25,9,75,75,1
-2.43443,16.0317,6.68529,126,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
11.6919,-9.0319,14.1857,6366,-75,-75,2,-75,-25,6,-75,25,4,-75,75,3,-25,-75,3,-25,-25,3,-25,25,1,-25,75,3,25,-75,7,25,-25,4,25,25,5,25,75,2,75,-75,2,75,-25,3,75,25,3,75,75,2
-7.0423,-12.8191,9.01136,110,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-35.4798,8.924,14.2915,276501,-75,-75,155,-75,-25,200,-75,25,205,-75,75,169,-25,-75,153,-25,-25,212,-25,25,198,-25,75,176,25,-75,106,25,-25,150,25,25,172,25,75,107,75,-75,112,75,-25,109,75,25,103,75,75,119
-32.637,25.3187,13.7845,48640,-75,-75,27,-75,-25,19,-75,25,33,-75,75,28,-25,-75,25,-25,-25,41,-25,25,133,-25,75,42,25,-75,21,25,-25,20,25,25,27,25,75,27,75,-75,22,75,-25,14,75,25,12,75,75,29
-5.62648,-35.6053,11.569,75,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-37.2006,12.1009,-17.5165,50,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-75,75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
11.4851,16.5497,8.60008,117,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-4.95952,8.91579,3.9632,167912,-75,-75,98,-75,-25,96,-75,25,104,-75,75,85,-25,-75,88,-25,-25,135,-25,25,113,-25,75,94,25,-75,106,25,-25,111,25,25,114,25,75,107,75,-75,68,75,-25,94,75,25,78,75,75,97
-20.0153,-43.1818,4.88829,131870,-75,-75,95,-75,-25,101,-75,25,80,-75,75,66,-25,-75,133,-25,-25,99,-25,25,62,-25,75,47,25,-75,100,25,-25,83,25,25,85,25,75,38,75,-75,67,75,-25,82,75,25,81,75,75,75
25.6923,29.3838,-17.6782,38,-99.9,-99.9,-1,-75,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,75,25,1,-99.9,-99.9,-1
-42.405,-3.41293,0.913122,483748,-75,-75,324,-75,-25,346,-75,25,362,-75,75,298,-25,-75,284,-25,-25,357,-25,25,395,-25,75,317,25,-75,216,25,-25,260,25,25,288,25,75,206,75,-75,193,75,-25,205,75,25,212,75,75,230
-17.719,-13.5024,21.6656,120,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
16.8657,-13.0908,-14.4985,106282,-75,-75,55,-75,-25,42,-75,25,38,-75,75,45,-25,-75,60,-25,-25,76,-25,25,63,-25,75,44,25,-75,76,25,-25,148,25,25,94,25,75,48,75,-75,73,75,-25,72,75,25,45,75,75,64
29.8469,-35.5708,-13.7898,274907,-75,-75,151,-75,-25,106,-75,25,107,-75,75,104,-25,-75,163,-25,-25,162,-25,25,143,-25,75,106,25,-75,225,25,-25,281,25,25,156,25,75,100,75,-75,232,75,-25,236,75,25,142,75,75,130
-30.4333,-40.1785,-14.466,40145,-75,-75,26,-75,-25,34,-75,25,16,-75,75,19,-25,-75,40,-25,-25,104,-25,25,23,-25,75,19,25,-75,23,25,-25,25,25,25,18,25,75,18,75,-75,25,75,-25,22,75,25,13,75,75,17
28.3027,-8.43205,-10.8191,2151,-99.9,-99.9,-1,-75,-25,3,-75,25,2,-75,75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,25,2,-25,75,2,25,-75,2,-99.9,-99.9,-1,25,25,2,25,75,2,-99.9,-99.9,-1,-99.9,-99.9,-1,75,25,2,-99.9,-99.9,-1
1.8087,43.0111,1.70624,26160,-75,-75,10,-75,-25,12,-75,25,11,-75,75,21,-25,-75,13,-25,-25,11,-25,25,26,-25,75,27,25,-75,11,25,-25,18,25,25,27,25,75,26,75,-75,6,75,-25,11,75,25,23,75,75,17
1.49133,13.3072,-6.42653,60557,-75,-75,26,-75,-25,31,-75,25,29,-75,75,28,-25,-75,26,-25,-25,37,-25,25,56,-25,75,39,25,-75,25,25,-25,39,25,25,50,25,75,25,75,-75,27,75,-25,27,75,25,31,75,75,36
-34.7964,2.77527,4.01767,35219,-75,-75,18,-75,-25,30,-75,25,36,-75,75,19,-25,-75,12,-25,-25,27,-25,25,38,-25,75,25,25,-75,12,25,-25,13,25,25,23,25,75,27,75,-75,17,75,-25,13,75,25,9,75,75,12
-6.91689,-16.3332,-3.90819,127,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-0.974152,30.1115,-2.79403,43823,-75,-75,22,-75,-25,22,-75,25,38,-75,75,21,-25,-75,21,-25,-25,20,-25,25,42,-25,75,35,25,-75,20,25,-25,24,25,25,45,25,75,33,75,-75,22,75,-25,16,75,25,29,75,75,22
-20.074,10.9894,-23.6915,10582,-75,-75,4,-75,-25,7,-75,25,9,-75,75,7,-25,-75,5,-25,-25,11,-25,25,17,-25,75,7,25,-75,7,25,-25,4,25,25,10,25,75,7,75,-75,2,75,-25,7,75,25,3,75,75,8
-10.2352,-43.3843,15.6915,1726,-99.9,-99.9,-1,-75,-25,1,-75,25,2,-75,75,1,-25,-75,4,-25,-25,1,-25,25,1,-25,75,2,25,-75,3,25,-25,3,25,25,1,-99.9,-99.9,-1,75,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,75,75,1
-2.03042,14.5266,-2.74921,9953,-75,-75,4,-75,-25,7,-75,25,7,-75,75,6,-25,-75,4,-25,-25,11,-25,25,9,-25,75,3,25,-75,4,25,-25,6,25,25,9,25,75,7,75,-75,2,75,-25,10,75,25,4,75,75,5
24.0398,-10.7441,-10.0384,87,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-37.1146,-17.9962,14.1903,9703,-75,-75,8,-75,-25,5,-75,25,5,-75,75,6,-25,-75,6,-25,-25,22,-25,25,4,-25,75,3,25,-75,7,25,-25,7,25,25,6,25,75,5,75,-75,7,75,-25,4,75,25,4,75,75,4
-3.76202,24.3247,-19.719,96,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-25.1368,-22.8726,3.14636,37740,-75,-75,21,-75,-25,26,-75,25,23,-75,75,14,-25,-75,27,-25,-25,96,-25,25,22,-25,75,17,25,-75,22,25,-25,22,25,25,25,25,75,16,75,-75,20,75,-25,20,75,25,9,75,75,18
-7.09499,0.147522,4.6494,468,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-75,75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,25,1,-25,75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-0.316871,0.0128333,-0.936007,44395,-75,-75,29,-75,-25,27,-75,25,25,-75,75,27,-25,-75,30,-25,-25,35,-25,25,34,-25,75,24,25,-75,24,25,-25,30,25,25,33,25,75,23,75,-75,32,75,-25,21,75,25,21,75,75,33
