vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3,xpos4,ypos4,photons4,xpos5,ypos5,photons5,xpos6,ypos6,photons6,xpos7,ypos7,photons7,xpos8,ypos8,photons8,xpos9,ypos9,photons9,xpos10,ypos10,photons10,xpos11,ypos11,photons11,xpos12,ypos12,photons12,xpos13,ypos13,photons13,xpos14,ypos14,photons14,xpos15,ypos15,photons15
8.51955,-5.6544,-22.0116,722924,-75,-75,470,-75,-25,387,-75,25,365,-75,75,331,-25,-75,668,-25,-25,726,-25,25,364,-25,75,298,25,-75,555,25,-25,624,25,25,375,25,75,304,75,-75,415,75,-25,390,75,25,311,75,75,317
8.9848,14.9327,-11.5623,470226,-75,-75,197,-75,-25,227,-75,25,202,-75,75,234,-25,-75,208,-25,-25,274,-25,25,255,-25,75,210,25,-75,280,25,-25,307,25,25,458,25,75,303,75,-75,238,75,-25,360,75,25,352,75,75,314
29.4256,-2.12505,19.8661,1422,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1,25,75,1,75,-75,2,75,-25,3,75,25,2,-99.9,-99.9,-1
23.0221,-43.2555,1.75517,59336,-75,-75,33,-75,-25,34,-75,25,21,-75,75,33,-25,-75,43,-25,-25,45,-25,25,41,-25,75,36,25,-75,42,25,-25,60,25,25,31,25,75,21,75,-75,41,75,-25,48,75,25,23,75,75,19
19.3981,35.3576,-16.8602,14796,-75,-75,8,-75,-25,2,-75,25,6,-75,75,7,-25,-75,3,-25,-25,7,-25,25,10,-25,75,7,25,-75,2,25,-25,11,25,25,12,25,75,17,75,-75,7,75,-25,10,75,25,7,75,75,11
-49.9937,-27.0609,-14.1319,6086,-75,-75,6,-75,-25,4,-75,25,4,-75,75,6,-25,-75,5,-25,-25,12,-25,25,1,-25,75,1,25,-75,3,25,-25,2,25,25,5,25,75,1,-99.9,-99.9,-1,75,-25,3,75,25,3,75,75,4
-39.811,20.289,15.1619,617,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,-75,1,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,75,-75,1,75,-25,1,-99.9,-99.9,-1,75,75,1
19.0308,31.5872,6.56107,291169,-75,-75,122,-75,-25,147,-75,25,134,-75,75,143,-25,-75,122,-25,-25,160,-25,25,202,-25,75,184,25,-75,132,25,-25,171,25,25,534,25,75,199,75,-75,154,75,-25,169,75,25,188,75,75,183
-17.6319,-41.1949,1.97654,152,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-27.229,-3.34012,-14.9343,54029,-75,-75,36,-75,-25,35,-75,25,34,-75,75,28,-25,-75,31,-25,-25,63,-25,25,66,-25,75,34,25,-75,23,25,-25,39,25,25,25,25,75,29,75,-75,22,75,-25,25,75,25,32,75,75,24
21.9727,30.1123,-9.2595,466826,-75,-75,203,-75,-25,220,-75,25,232,-75,75,239,-25,-75,200,-25,-25,278,-25,25,323,-25,75,300,25,-75,213,25,-25,272,25,25,654,25,75,321,75,-75,213,75,-25,238,75,25,292,75,75,313
46.5843,-0.442331,13.1222,307625,-75,-75,147,-75,-25,193,-75,25,206,-75,75,150,-25,-75,143,-25,-25,193,-25,25,194,-25,75,151,25,-75,165,25,-25,174,25,25,218,25,75,175,75,-75,153,75,-25,228,75,25,210,75,75,197
33.0002,-27.54,-6.72008,66,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-7.90602,-26.1672,2.01939,6236,-75,-75,6,-75,-25,4,-75,25,3,-75,75,3,-25,-75,3,-25,-25,3,-25,25,3,-25,75,2,25,-75,1,25,-25,3,25,25,2,25,75,3,75,-75,1,75,-25,3,75,25,2,75,75,7
1.62953,28.7816,6.04196,13047,-75,-75,5,-75,-25,8,-75,25,9,-75,75,8,-25,-75,6,-25,-25,4,-25,25,8,-25,75,9,25,-75,11,25,-25,7,25,25,13,25,75,12,75,-75,4,75,-25,9,75,25,8,75,75,12
38.8348,-49.7306,-8.6397,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
27.5559,7.39329,-23.1972,105,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,25,1,-25,75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
30.1733,-46.0539,-21.0836,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
29.0557,-25.249,-0.774915,78,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-17.0402,36.4356,20.8267,150,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-36.9813,-44.44,17.4303,63,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-39.3767,-34.7912,-7.88044,119525,-75,-75,106,-75,-25,104,-75,25,68,-75,75,58,-25,-75,97,-25,-25,170,-25,25,69,-25,75,42,25,-75,76,25,-25,61,25,25,50,25,75,52,75,-75,53,75,-25,36,75,25,42,75,75,45
-4.14776,20.6135,7.55366,11256,-75,-75,10,-75,-25,7,-75,25,9,-75,75,7,-25,-75,10,-25,-25,6,-25,25,9,-25,75,10,25,-75,7,25,-25,8,25,25,5,25,75,7,75,-75,6,75,-25,6,75,25,5,75,75,4
25.792,-40.112,-8.35669,179,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,75,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
6.16237,-32.6496,-17.5786,371213,-75,-75,216,-75,-25,190,-75,25,209,-75,75,168,-25,-75,248,-25,-25,437,-25,25,255,-25,75,169,25,-75,241,25,-25,400,25,25,208,25,75,149,75,-75,208,75,-25,202,75,25,175,75,75,167
-41.8231,35.9262,13.7747,14051,-75,-75,6,-75,-25,7,-75,25,7,-75,75,4,-25,-75,13,-25,-25,8,-25,25,2,-25,75,7,25,-75,17,25,-25,12,25,25,2,25,75,5,75,-75,17,75,-25,8,75,25,9,75,75,6
36.5189,30.8987,-1.63753,156005,-75,-75,62,-75,-25,74,-75,25,76,-75,75,80,-25,-75,72,-25,-25,74,-25,25,87,-25,75,92,25,-75,71,25,-25,106,25,25,298,25,75,131,75,-75,74,75,-25,104,75,25,117,75,75,121
