vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
2.56381,1.92117,-6.23712,87,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
5.47345,3.47604,-8.96466,67,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-8.89608,-9.28379,-5.05171,46,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-9.88569,17.8011,-3.30302,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
8.17101,-20.8241,-4.12199,203025,-25,-25,197,-25,25,135,25,-25,580,25,25,187
9.44027,23.5238,2.27685,2684,-25,-25,2,-25,25,5,25,-25,3,25,25,7
10.1188,-17.2466,5.99718,4467,-25,-25,12,-25,25,5,25,-25,7,25,25,2
19.8271,21.7294,-6.10017,64056,-25,-25,55,-25,25,58,25,-25,72,25,25,318
7.29205,9.81297,3.10209,87170,-25,-25,80,-25,25,107,25,-25,120,25,25,195
13.7617,6.61238,-1.14503,9522,-25,-25,8,-25,25,8,25,-25,18,25,25,25
21.5516,11.2362,1.00769,4737,-25,-25,5,-25,25,4,25,-25,8,25,25,21
-9.20898,-11.8853,-3.33728,58,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-8.41784,15.753,2.82826,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
3.95786,20.3423,7.12248,9244,-25,-25,2,-25,25,13,25,-25,6,25,25,23
3.32914,-11.8873,2.2375,14897,-25,-25,17,-25,25,9,25,-25,22,25,25,6
-7.87376,-16.2608,-8.7369,98861,-25,-25,247,-25,25,113,25,-25,127,25,25,73
12.2237,19.7497,-1.33736,177475,-25,-25,128,-25,25,232,25,-25,160,25,25,447
1.99425,0.229095,0.211792,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
21.8904,23.4991,4.39987,106922,-25,-25,58,-25,25,113,25,-25,81,25,25,1091
12.7316,-22.7858,2.27004,198058,-25,-25,225,-25,25,116,25,-25,594,25,25,174
22.7601,22.4218,-1.09742,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-13.8705,-20.5475,-6.13382,39,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-20.4787,2.74406,6.35698,1866,-25,-25,2,-25,25,9,25,-25,2,25,25,4
-19.5282,-22.9285,0.454916,52236,-25,-25,596,-25,25,34,25,-25,46,25,25,33
-15.4969,-2.71884,-0.235531,107,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
5.34708,-24.1856,9.33836,69,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
12.3726,5.99793,2.22021,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-15.626,-20.3004,-7.44251,3390,-25,-25,2,-25,25,14,25,-25,2,25,25,4
19.1939,3.90761,-9.69102,249711,-25,-25,161,-25,25,201,25,-25,358,25,25,546
13.0822,-1.28205,8.37174,1272,-25,-25,2,-25,25,1,25,-25,3,25,25,2
13.1782,14.6039,7.11346,56741,-25,-25,34,-25,25,70,25,-25,67,25,25,134
-13.3065,16.4782,-0.120292,90,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-0.762482,14.6143,0.497263,45951,-25,-25,34,-25,25,76,25,-25,43,25,25,86
-15.5769,-3.01881,5.77313,74,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
23.0981,-5.5983,-2.05694,64,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
12.6841,-10.5316,7.89053,25590,-25,-25,24,-25,25,48,25,-25,32,25,25,35
-19.5826,17.822,-6.8071,64,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-20.034,14.9251,2.29969,109655,-25,-25,124,-25,25,397,25,-25,66,25,25,107
7.28316,10.308,-2.69415,3441,-99.9,-99.9,-1,-25,25,2,25,-25,5,25,25,6
-10.3906,-22.4214,8.77639,42565,-25,-25,119,-25,25,36,25,-25,57,25,25,19
18.7285,-24.4149,-3.58023,51950,-25,-25,59,-25,25,34,25,-25,189,25,25,57
14.9378,10.374,-4.82816,84,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
21.6773,-10.4578,1.92794,55,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
7.2607,-4.46713,4.32019,57,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-13.3429,3.1757,-1.46674,124484,-25,-25,217,-25,25,197,25,-25,124,25,25,113
-2.4752,-19.1462,-2.43101,48,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
